Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF
2023-03-04,2022,Oud-Heverlee Leuven,Waregem,4,2,H,O,1.87,3.78,3.87,8.0,4.0,3.0,5.0,14,0.0,1.0,0.0,1.0,2.0,4.0,-2.0,2.0,7.0,-5.0,0.0,-3.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,30.8,30.8,15.4,53.8,10.0,9.0,15.0,12.0
2023-03-04,2022,Kortrijk,Charleroi,0,1,A,U,3.07,3.52,2.22,3.0,6.0,4.0,2.0,14,1.0,0.0,0.0,0.0,7.0,4.0,3.0,6.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,46.2,30.8,38.5,17.0,14.0,14.0,13.0
2023-03-04,2022,Cercle Brugge,Seraing,3,1,H,O,1.38,4.65,8.42,7.0,2.0,11.0,3.0,14,1.0,0.0,0.0,3.0,6.0,2.0,4.0,5.0,10.0,-5.0,1.0,-8.0,9.0,0.0,0.0,0.0,0.0,2.0,-2.0,38.5,15.4,30.8,61.5,19.0,8.0,25.0,14.0
2023-03-03,2022,Oostende,Club Brugge,3,0,H,O,4.41,4.07,1.7,6.0,3.0,0.0,5.0,14,0.0,1.0,2.0,0.0,1.0,4.0,-3.0,4.0,3.0,1.0,-3.0,1.0,-4.0,0.0,0.0,0.0,1.0,0.0,1.0,30.8,61.5,38.5,30.8,14.0,8.0,18.0,17.0
2023-02-26,2022,Oud-Heverlee Leuven,Antwerp,1,1,D,U,3.45,3.56,2.04,4.0,4.0,3.0,7.0,13,0.0,2.0,0.0,0.0,2.0,4.0,-2.0,2.0,0.0,2.0,0.0,4.0,-4.0,0.0,1.0,-1.0,0.0,0.0,0.0,33.3,33.3,46.2,30.8,13.0,13.0,20.0,10.0
2023-02-26,2022,Club Brugge,Gent,2,0,H,U,2.12,3.49,3.3,6.0,2.0,9.0,3.0,14,0.0,1.0,0.0,1.0,4.0,8.0,-4.0,4.0,6.0,-2.0,0.0,2.0,-2.0,0.0,1.0,-1.0,0.0,0.0,0.0,46.2,7.7,38.5,38.5,16.0,18.0,10.0,13.0
2023-02-26,2022,Charleroi,St Truiden,1,0,H,U,2.05,3.42,3.56,7.0,2.0,3.0,2.0,14,2.0,1.0,1.0,1.0,5.0,4.0,1.0,2.0,4.0,-2.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,-1.0,38.5,53.8,38.5,23.1,11.0,10.0,21.0,8.0
2023-02-26,2022,Anderlecht,Standard,2,2,D,O,1.86,3.73,3.91,7.0,4.0,7.0,3.0,14,1.0,1.0,1.0,1.0,5.0,6.0,-1.0,4.0,7.0,-3.0,1.0,-1.0,2.0,1.0,1.0,0.0,0.0,1.0,-1.0,38.5,46.2,38.5,38.5,18.0,11.0,15.0,3.0
2023-02-25,2022,Westerlo,St. Gilloise,4,2,H,O,3.5,3.61,2.01,6.0,8.0,4.0,6.0,14,1.0,1.0,1.0,0.0,7.0,3.0,4.0,6.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,46.2,30.8,61.5,15.4,18.0,12.0,25.0,17.0
2023-02-25,2022,Seraing,Mechelen,0,2,A,U,3.59,3.64,1.98,0.0,4.0,4.0,3.0,14,1.0,0.0,1.0,3.0,3.0,1.0,2.0,3.0,6.0,-3.0,0.0,-5.0,5.0,0.0,0.0,0.0,0.0,2.0,-2.0,7.7,69.2,16.7,75.0,10.0,7.0,15.0,14.0
2023-02-25,2022,Genk,Oostende,3,0,H,O,1.33,5.42,8.05,5.0,4.0,4.0,4.0,14,2.0,0.0,1.0,1.0,5.0,4.0,1.0,1.0,5.0,-4.0,4.0,-1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,84.6,7.7,7.7,61.5,15.0,14.0,13.0,10.0
2023-02-25,2022,Eupen,Cercle Brugge,2,2,D,O,3.38,3.55,2.08,3.0,4.0,4.0,6.0,14,1.0,1.0,0.0,1.0,4.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,53.8,30.8,46.2,10.0,14.0,11.0,20.0
2023-02-24,2022,Waregem,Kortrijk,3,3,D,O,2.16,3.57,3.17,4.0,5.0,8.0,5.0,14,0.0,1.0,1.0,2.0,3.0,4.0,-1.0,4.0,4.0,0.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,23.1,53.8,30.8,61.5,9.0,11.0,12.0,5.0
2023-02-19,2022,St Truiden,Westerlo,0,1,A,U,2.68,3.25,2.64,1.0,3.0,1.0,6.0,13,1.0,1.0,1.0,0.0,2.0,3.0,-1.0,4.0,2.0,2.0,-2.0,1.0,-3.0,0.0,0.0,0.0,1.0,0.0,1.0,33.3,41.7,33.3,41.7,7.0,13.0,4.0,16.0
2023-02-19,2022,Kortrijk,Anderlecht,2,2,D,O,3.65,3.75,1.92,7.0,5.0,6.0,4.0,13,2.0,2.0,0.0,0.0,6.0,4.0,2.0,4.0,1.0,3.0,2.0,3.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,25.0,50.0,41.7,41.7,18.0,7.0,13.0,12.0
2023-02-19,2022,Gent,Oud-Heverlee Leuven,2,0,H,U,1.6,4.08,5.19,6.0,4.0,5.0,9.0,13,1.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0,4.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,30.8,38.5,18.0,13.0,20.0,19.0
2023-02-19,2022,Cercle Brugge,Club Brugge,2,2,D,O,3.35,3.46,2.11,10.0,5.0,17.0,4.0,13,1.0,1.0,0.0,0.0,5.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.7,16.7,41.7,33.3,10.0,7.0,11.0,21.0
2023-02-18,2022,St. Gilloise,Standard,2,4,A,O,1.54,4.16,5.95,6.0,6.0,3.0,0.0,13,3.0,0.0,0.0,1.0,7.0,3.0,4.0,0.0,6.0,-6.0,7.0,-3.0,10.0,2.0,0.0,2.0,0.0,1.0,-1.0,75.0,8.3,33.3,41.7,21.0,6.0,22.0,14.0
2023-02-18,2022,Seraing,Waregem,1,1,D,U,3.12,3.58,2.18,2.0,3.0,4.0,7.0,13,1.0,1.0,1.0,2.0,3.0,3.0,0.0,3.0,7.0,-4.0,0.0,-4.0,4.0,0.0,0.0,0.0,0.0,1.0,-1.0,8.3,75.0,16.7,58.3,10.0,7.0,14.0,10.0
2023-02-18,2022,Oostende,Charleroi,0,0,D,U,2.99,3.59,2.24,6.0,3.0,11.0,3.0,13,0.0,0.0,3.0,0.0,1.0,4.0,-3.0,7.0,4.0,3.0,-6.0,0.0,-6.0,0.0,0.0,0.0,2.0,0.0,2.0,33.3,66.7,33.3,41.7,11.0,14.0,13.0,15.0
2023-02-18,2022,Antwerp,Eupen,2,0,H,U,1.36,5.0,8.17,2.0,0.0,7.0,4.0,13,2.0,1.0,0.0,1.0,6.0,3.0,3.0,1.0,4.0,-3.0,5.0,-1.0,6.0,2.0,0.0,2.0,0.0,1.0,-1.0,75.0,8.3,25.0,58.3,13.0,11.0,7.0,18.0
2023-02-17,2022,Mechelen,Genk,2,2,D,O,4.01,3.83,1.82,5.0,3.0,4.0,4.0,14,2.0,2.0,0.0,0.0,7.0,7.0,0.0,5.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2,23.1,75.0,16.7,21.0,13.0,23.0,14.0
2023-02-12,2022,Waregem,Oostende,1,1,D,U,2.02,3.64,3.4,2.0,3.0,3.0,4.0,13,1.0,0.0,1.0,2.0,4.0,3.0,1.0,3.0,7.0,-4.0,1.0,-4.0,5.0,1.0,0.0,1.0,0.0,1.0,-1.0,25.0,58.3,8.3,66.7,11.0,12.0,12.0,8.0
2023-02-12,2022,Standard,Kortrijk,0,2,A,U,1.64,4.17,4.74,1.0,4.0,7.0,3.0,13,2.0,0.0,0.0,3.0,6.0,3.0,3.0,2.0,6.0,-4.0,4.0,-3.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,58.3,25.0,25.0,66.7,13.0,12.0,24.0,7.0
2023-02-12,2022,Genk,Antwerp,0,1,A,U,1.99,3.6,3.57,3.0,3.0,9.0,3.0,13,3.0,1.0,0.0,1.0,8.0,3.0,5.0,1.0,2.0,-1.0,7.0,1.0,6.0,2.0,1.0,1.0,0.0,1.0,-1.0,91.7,0.0,41.7,33.3,18.0,15.0,9.0,16.0
2023-02-12,2022,Anderlecht,St Truiden,3,1,H,O,1.86,3.51,4.22,9.0,2.0,4.0,2.0,13,0.0,1.0,2.0,0.0,3.0,4.0,-1.0,6.0,2.0,4.0,-3.0,2.0,-5.0,0.0,1.0,-1.0,1.0,0.0,1.0,33.3,50.0,41.7,16.7,11.0,11.0,11.0,8.0
2023-02-11,2022,Westerlo,Gent,3,3,D,O,2.89,3.34,2.41,5.0,9.0,3.0,6.0,13,1.0,1.0,2.0,2.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,50.0,33.3,41.7,41.7,17.0,10.0,31.0,13.0
2023-02-11,2022,Charleroi,Seraing,3,0,H,O,1.52,4.21,6.16,4.0,1.0,10.0,2.0,13,1.0,1.0,2.0,2.0,2.0,4.0,-2.0,3.0,8.0,-5.0,-1.0,-4.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,33.3,58.3,33.3,58.3,9.0,9.0,14.0,14.0
2023-02-10,2022,Oud-Heverlee Leuven,Cercle Brugge,0,0,D,U,2.36,3.42,2.91,1.0,5.0,6.0,7.0,12,0.0,1.0,1.0,1.0,4.0,4.0,0.0,5.0,4.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4,36.4,33.3,50.0,16.0,13.0,19.0,21.0
2023-02-10,2022,Eupen,Mechelen,2,1,H,O,2.57,3.45,2.62,3.0,4.0,4.0,2.0,13,0.0,0.0,1.0,3.0,2.0,0.0,2.0,4.0,6.0,-2.0,-2.0,-6.0,4.0,0.0,0.0,0.0,1.0,3.0,-2.0,25.0,58.3,18.2,72.7,10.0,7.0,10.0,15.0
2023-02-10,2022,Club Brugge,St. Gilloise,1,1,D,U,2.54,3.34,2.73,4.0,2.0,5.0,3.0,13,0.0,2.0,0.0,0.0,4.0,5.0,-1.0,4.0,2.0,2.0,0.0,3.0,-3.0,0.0,1.0,-1.0,0.0,0.0,0.0,50.0,8.3,66.7,16.7,19.0,20.0,8.0,20.0
2023-02-05,2022,St. Gilloise,Waregem,4,0,H,O,1.36,5.03,7.69,8.0,1.0,2.0,3.0,12,3.0,1.0,0.0,2.0,6.0,3.0,3.0,0.0,5.0,-5.0,6.0,-2.0,8.0,2.0,0.0,2.0,0.0,1.0,-1.0,72.7,9.1,18.2,54.5,18.0,7.0,30.0,10.0
2023-02-05,2022,Mechelen,Charleroi,2,2,D,O,2.25,3.52,3.0,7.0,8.0,4.0,7.0,13,2.0,1.0,0.0,0.0,6.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,36.4,45.5,23.0,10.0,28.0,15.0
2023-02-05,2022,Gent,Genk,2,3,A,O,2.33,3.49,2.88,6.0,5.0,4.0,3.0,12,1.0,1.0,0.0,1.0,2.0,4.0,-2.0,1.0,4.0,-3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.5,18.2,72.7,18.2,17.0,14.0,29.0,17.0
2023-02-05,2022,Antwerp,Club Brugge,0,0,D,U,2.57,3.32,2.7,2.0,1.0,2.0,5.0,12,2.0,1.0,0.0,1.0,6.0,4.0,2.0,1.0,5.0,-4.0,5.0,-1.0,6.0,2.0,0.0,2.0,0.0,1.0,-1.0,81.8,9.1,45.5,36.4,14.0,10.0,9.0,20.0
2023-02-04,2022,St Truiden,Kortrijk,1,0,H,U,1.78,3.65,4.45,2.0,4.0,2.0,2.0,12,1.0,1.0,1.0,2.0,3.0,6.0,-3.0,4.0,7.0,-3.0,-1.0,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,27.3,45.5,27.3,63.6,11.0,14.0,8.0,11.0
2023-02-04,2022,Seraing,Oud-Heverlee Leuven,2,1,H,O,4.07,3.63,1.86,4.0,5.0,7.0,11.0,12,0.0,1.0,2.0,1.0,1.0,3.0,-2.0,3.0,3.0,0.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,33.3,33.3,7.0,13.0,11.0,11.0
2023-02-04,2022,Eupen,Westerlo,1,1,D,U,3.05,3.53,2.22,3.0,6.0,4.0,7.0,12,0.0,1.0,2.0,0.0,2.0,3.0,-1.0,5.0,2.0,3.0,-3.0,1.0,-4.0,0.0,0.0,0.0,1.0,0.0,1.0,27.3,63.6,36.4,45.5,10.0,12.0,11.0,13.0
2023-02-04,2022,Cercle Brugge,Standard,1,1,D,U,2.12,3.47,3.33,3.0,2.0,4.0,1.0,12,1.0,0.0,1.0,1.0,4.0,2.0,2.0,4.0,5.0,-1.0,0.0,-3.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,45.5,18.2,36.4,45.5,12.0,4.0,13.0,14.0
2023-02-03,2022,Oostende,Anderlecht,0,2,A,U,3.52,3.75,1.96,4.0,3.0,3.0,2.0,12,0.0,2.0,3.0,0.0,2.0,3.0,-1.0,7.0,1.0,6.0,-5.0,2.0,-7.0,0.0,0.0,0.0,1.0,0.0,1.0,36.4,63.6,36.4,45.5,10.0,6.0,15.0,10.0
2023-02-01,2022,Eupen,Genk,1,1,D,U,5.38,4.31,1.55,4.0,5.0,3.0,7.0,11,1.0,2.0,2.0,1.0,3.0,5.0,-2.0,4.0,3.0,1.0,-1.0,2.0,-3.0,1.0,1.0,0.0,1.0,0.0,1.0,30.0,70.0,80.0,20.0,11.0,13.0,15.0,16.0
2023-01-29,2022,Waregem,Club Brugge,1,2,A,O,4.72,4.11,1.64,4.0,2.0,4.0,8.0,12,1.0,0.0,0.0,2.0,8.0,2.0,6.0,6.0,6.0,0.0,2.0,-4.0,6.0,1.0,0.0,1.0,0.0,2.0,-2.0,27.3,54.5,40.0,40.0,16.0,12.0,19.0,15.0
2023-01-29,2022,Genk,Seraing,4,0,H,O,1.21,6.4,12.02,9.0,0.0,3.0,4.0,12,3.0,1.0,0.0,2.0,8.0,4.0,4.0,2.0,9.0,-7.0,6.0,-5.0,11.0,2.0,0.0,2.0,0.0,1.0,-1.0,90.9,0.0,36.4,54.5,17.0,10.0,11.0,13.0
2023-01-29,2022,Cercle Brugge,Gent,3,2,H,O,3.16,3.33,2.23,6.0,5.0,4.0,2.0,11,1.0,2.0,1.0,1.0,3.0,7.0,-4.0,3.0,2.0,1.0,0.0,5.0,-5.0,0.0,2.0,-2.0,0.0,1.0,-1.0,40.0,20.0,45.5,36.4,10.0,15.0,15.0,17.0
2023-01-29,2022,Anderlecht,Antwerp,0,0,D,U,2.72,3.41,2.48,0.0,4.0,6.0,2.0,12,0.0,1.0,3.0,1.0,3.0,6.0,-3.0,8.0,5.0,3.0,-5.0,1.0,-6.0,0.0,1.0,-1.0,2.0,1.0,1.0,36.4,54.5,45.5,36.4,16.0,18.0,10.0,20.0
2023-01-28,2022,Westerlo,Mechelen,2,0,H,U,1.97,3.63,3.6,8.0,2.0,11.0,5.0,12,0.0,1.0,2.0,2.0,6.0,5.0,1.0,8.0,4.0,4.0,-2.0,1.0,-3.0,0.0,1.0,-1.0,0.0,2.0,-2.0,45.5,36.4,20.0,70.0,13.0,,23.0,
2023-01-28,2022,Oud-Heverlee Leuven,St Truiden,1,1,D,U,2.31,3.38,2.99,5.0,4.0,6.0,3.0,11,1.0,2.0,1.0,0.0,8.0,5.0,3.0,4.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,40.0,45.5,18.2,25.0,12.0,27.0,12.0
2023-01-28,2022,Kortrijk,Oostende,2,2,D,O,2.08,3.66,3.26,3.0,7.0,2.0,5.0,12,2.0,0.0,1.0,3.0,4.0,1.0,3.0,6.0,11.0,-5.0,-2.0,-10.0,8.0,0.0,0.0,0.0,1.0,2.0,-1.0,27.3,54.5,9.1,72.7,18.0,5.0,19.0,6.0
2023-01-28,2022,Charleroi,St. Gilloise,0,1,A,U,3.47,3.53,2.04,1.0,3.0,2.0,8.0,12,1.0,2.0,2.0,0.0,2.0,7.0,-5.0,7.0,4.0,3.0,-5.0,3.0,-8.0,0.0,1.0,-1.0,1.0,0.0,1.0,36.4,54.5,63.6,18.2,,24.0,,16.0
2023-01-27,2022,Standard,Eupen,3,1,H,O,1.68,3.84,4.87,7.0,3.0,8.0,2.0,12,1.0,1.0,1.0,0.0,5.0,7.0,-2.0,4.0,6.0,-2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,54.5,27.3,27.3,54.5,11.0,16.0,24.0,18.0
2023-01-22,2022,St Truiden,Gent,0,3,A,O,3.37,3.33,2.14,1.0,4.0,1.0,5.0,11,1.0,1.0,1.0,1.0,3.0,5.0,-2.0,2.0,3.0,-1.0,1.0,2.0,-1.0,1.0,1.0,0.0,0.0,1.0,-1.0,30.0,40.0,40.0,40.0,11.0,15.0,17.0,18.0
2023-01-22,2022,Seraing,Anderlecht,0,1,A,U,5.5,4.01,1.58,4.0,4.0,4.0,6.0,11,0.0,1.0,2.0,0.0,2.0,2.0,0.0,4.0,1.0,3.0,-2.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,30.0,50.0,5.0,3.0,12.0,5.0
2023-01-22,2022,Club Brugge,Charleroi,2,2,D,O,1.42,4.67,6.86,6.0,3.0,2.0,3.0,12,0.0,1.0,0.0,1.0,4.0,3.0,1.0,4.0,5.0,-1.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,54.5,9.1,40.0,50.0,18.0,9.0,9.0,16.0
2023-01-22,2022,Antwerp,Standard,4,1,H,O,1.7,3.77,4.82,6.0,3.0,2.0,2.0,11,1.0,0.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,0.0,0.0,-2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,80.0,10.0,40.0,40.0,12.0,5.0,15.0,14.0
2023-01-21,2022,Waregem,Westerlo,1,1,D,U,2.89,3.52,2.31,3.0,5.0,5.0,5.0,11,1.0,2.0,1.0,0.0,7.0,4.0,3.0,8.0,1.0,7.0,-1.0,3.0,-4.0,1.0,1.0,0.0,1.0,0.0,1.0,30.0,60.0,40.0,50.0,16.0,12.0,18.0,14.0
2023-01-21,2022,St. Gilloise,Oud-Heverlee Leuven,1,0,H,U,1.5,4.5,5.88,7.0,4.0,12.0,5.0,11,2.0,1.0,0.0,1.0,6.0,4.0,2.0,1.0,4.0,-3.0,5.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,70.0,10.0,36.4,27.3,12.0,13.0,28.0,12.0
2023-01-21,2022,Oostende,Cercle Brugge,1,2,A,O,3.07,3.59,2.19,4.0,6.0,4.0,6.0,11,1.0,1.0,2.0,1.0,4.0,3.0,1.0,6.0,3.0,3.0,-2.0,0.0,-2.0,1.0,0.0,1.0,1.0,0.0,1.0,40.0,60.0,27.3,54.5,15.0,8.0,19.0,17.0
2023-01-21,2022,Mechelen,Kortrijk,3,2,H,O,1.8,3.88,4.06,8.0,3.0,9.0,0.0,12,1.0,1.0,0.0,2.0,5.0,5.0,0.0,4.0,7.0,-3.0,1.0,-2.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,45.5,27.3,30.0,60.0,21.0,15.0,30.0,17.0
2023-01-19,2022,St Truiden,Club Brugge,1,1,D,U,3.53,3.39,2.07,4.0,4.0,1.0,8.0,10,1.0,0.0,1.0,2.0,2.0,3.0,-1.0,1.0,7.0,-6.0,1.0,-4.0,5.0,1.0,0.0,1.0,0.0,2.0,-2.0,33.3,44.4,44.4,44.4,10.0,10.0,19.0,11.0
2023-01-19,2022,Gent,Charleroi,0,0,D,U,1.56,4.17,5.52,6.0,3.0,9.0,5.0,11,2.0,1.0,0.0,2.0,4.0,4.0,0.0,1.0,9.0,-8.0,3.0,-5.0,8.0,1.0,0.0,1.0,0.0,2.0,-2.0,60.0,20.0,44.4,55.6,13.0,9.0,24.0,17.0
2023-01-18,2022,Oostende,Antwerp,0,3,A,O,4.09,3.82,1.8,3.0,6.0,6.0,5.0,10,2.0,0.0,1.0,1.0,6.0,5.0,1.0,4.0,7.0,-3.0,2.0,-2.0,4.0,1.0,0.0,1.0,0.0,1.0,-1.0,44.4,55.6,40.0,40.0,17.0,18.0,18.0,19.0
2023-01-18,2022,Kortrijk,Seraing,3,2,H,O,1.83,3.66,4.17,7.0,7.0,6.0,8.0,11,1.0,1.0,1.0,2.0,2.0,3.0,-1.0,5.0,8.0,-3.0,-3.0,-5.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,20.0,60.0,40.0,50.0,16.0,6.0,16.0,8.0
2023-01-18,2022,Cercle Brugge,St. Gilloise,1,1,D,U,3.42,3.49,2.08,1.0,7.0,3.0,6.0,10,2.0,3.0,1.0,0.0,6.0,8.0,-2.0,3.0,4.0,-1.0,3.0,4.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,44.4,22.2,70.0,20.0,17.0,20.0,18.0,17.0
2023-01-18,2022,Anderlecht,Waregem,2,3,A,O,1.55,4.41,5.27,9.0,5.0,5.0,2.0,11,1.0,0.0,2.0,2.0,5.0,2.0,3.0,7.0,5.0,2.0,-2.0,-3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,40.0,50.0,10.0,60.0,15.0,9.0,15.0,13.0
2023-01-17,2022,Westerlo,Genk,2,3,A,O,3.37,3.74,2.01,5.0,3.0,11.0,4.0,11,1.0,2.0,1.0,1.0,10.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,2.0,1.0,2.0,-1.0,0.0,0.0,0.0,50.0,30.0,77.8,22.2,16.0,15.0,17.0,16.0
2023-01-17,2022,Standard,Mechelen,2,0,H,U,1.94,3.69,3.67,5.0,1.0,7.0,7.0,11,1.0,1.0,1.0,2.0,8.0,6.0,2.0,4.0,5.0,-1.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,-2.0,50.0,30.0,22.2,66.7,,,,
2023-01-17,2022,Oud-Heverlee Leuven,Eupen,1,1,D,U,1.66,4.15,4.61,7.0,3.0,8.0,7.0,10,1.0,1.0,1.0,1.0,8.0,8.0,0.0,4.0,9.0,-5.0,4.0,-1.0,5.0,1.0,0.0,1.0,0.0,1.0,-1.0,44.4,44.4,30.0,60.0,23.0,15.0,20.0,15.0
2023-01-15,2022,St. Gilloise,Antwerp,2,0,H,U,2.13,3.44,3.29,6.0,5.0,8.0,9.0,10,1.0,0.0,0.0,1.0,6.0,5.0,1.0,3.0,6.0,-3.0,3.0,-1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,66.7,11.1,44.4,33.3,10.0,19.0,24.0,18.0
2023-01-15,2022,Gent,Kortrijk,2,1,H,O,1.34,5.16,8.26,6.0,5.0,7.0,5.0,10,2.0,1.0,0.0,1.0,4.0,6.0,-2.0,1.0,7.0,-6.0,3.0,-1.0,4.0,1.0,0.0,1.0,0.0,1.0,-1.0,55.6,22.2,33.3,55.6,11.0,16.0,26.0,21.0
2023-01-15,2022,Club Brugge,Anderlecht,1,1,D,U,1.95,3.68,3.63,6.0,0.0,3.0,4.0,11,1.0,1.0,0.0,1.0,7.0,1.0,6.0,5.0,5.0,0.0,2.0,-4.0,6.0,1.0,0.0,1.0,0.0,1.0,-1.0,60.0,10.0,33.3,55.6,18.0,,10.0,
2023-01-15,2022,Charleroi,Cercle Brugge,2,1,H,O,2.58,3.4,2.63,6.0,3.0,9.0,7.0,11,1.0,1.0,2.0,0.0,1.0,3.0,-2.0,6.0,2.0,4.0,-5.0,1.0,-6.0,0.0,0.0,0.0,1.0,0.0,1.0,30.0,60.0,30.0,50.0,,8.0,,16.0
2023-01-14,2022,Seraing,Standard,1,1,D,U,3.91,3.55,1.91,2.0,1.0,3.0,11.0,10,0.0,1.0,3.0,1.0,2.0,3.0,-1.0,5.0,2.0,3.0,-3.0,1.0,-4.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,88.9,44.4,44.4,5.0,11.0,15.0,13.0
2023-01-14,2022,Mechelen,Oostende,2,1,H,O,1.74,3.97,4.26,6.0,4.0,10.0,1.0,11,1.0,0.0,0.0,3.0,5.0,2.0,3.0,4.0,13.0,-9.0,1.0,-11.0,12.0,0.0,0.0,0.0,0.0,3.0,-3.0,40.0,30.0,10.0,70.0,25.0,4.0,27.0,7.0
2023-01-14,2022,Genk,Waregem,1,0,H,U,1.25,6.39,9.45,3.0,1.0,1.0,5.0,11,3.0,0.0,0.0,2.0,10.0,3.0,7.0,3.0,6.0,-3.0,7.0,-3.0,10.0,3.0,0.0,3.0,0.0,1.0,-1.0,90.0,0.0,11.1,55.6,20.0,12.0,18.0,13.0
2023-01-14,2022,Eupen,St Truiden,0,2,A,U,2.95,3.32,2.37,3.0,4.0,3.0,3.0,10,2.0,2.0,1.0,0.0,7.0,6.0,1.0,4.0,4.0,0.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,33.3,66.7,40.0,20.0,17.0,12.0,18.0,11.0
2023-01-13,2022,Westerlo,Oud-Heverlee Leuven,1,2,A,O,2.0,3.77,3.39,4.0,4.0,9.0,3.0,10,1.0,0.0,1.0,1.0,11.0,2.0,9.0,6.0,3.0,3.0,5.0,-1.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,55.6,22.2,30.0,30.0,15.0,11.0,12.0,14.0
2023-01-08,2022,Waregem,Mechelen,2,0,H,U,2.83,3.76,2.25,4.0,4.0,3.0,3.0,10,1.0,1.0,1.0,2.0,8.0,6.0,2.0,10.0,6.0,4.0,-2.0,0.0,-2.0,0.0,1.0,-1.0,1.0,2.0,-1.0,22.2,66.7,25.0,62.5,17.0,,20.0,
2023-01-08,2022,Oud-Heverlee Leuven,Kortrijk,2,3,A,O,1.68,4.08,4.53,4.0,6.0,5.0,6.0,9,1.0,0.0,1.0,2.0,6.0,4.0,2.0,2.0,7.0,-5.0,4.0,-3.0,7.0,1.0,0.0,1.0,0.0,1.0,-1.0,50.0,37.5,25.0,62.5,26.0,12.0,26.0,18.0
2023-01-08,2022,Genk,Club Brugge,3,1,H,O,2.18,3.67,3.04,6.0,4.0,5.0,4.0,10,3.0,1.0,0.0,1.0,13.0,3.0,10.0,3.0,4.0,-1.0,10.0,-1.0,11.0,3.0,0.0,3.0,0.0,1.0,-1.0,88.9,0.0,50.0,37.5,24.0,10.0,20.0,14.0
2023-01-08,2022,Anderlecht,St. Gilloise,1,3,A,O,2.7,3.41,2.51,2.0,10.0,0.0,6.0,10,1.0,3.0,2.0,0.0,4.0,11.0,-7.0,5.0,4.0,1.0,-1.0,7.0,-8.0,1.0,1.0,0.0,1.0,0.0,1.0,44.4,44.4,66.7,22.2,17.0,18.0,21.0,15.0
