Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF
2025-10-26,2025,Genk,RAAL La Louviere,1,1,D,U,1.47,4.39,6.12,7.0,2.0,9.0,3.0,6,1.0,1.0,2.0,1.0,3.0,4.0,-1.0,4.0,4.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,20.0,60.0,19.0,8.0,20.0,9.0
2025-10-26,2025,Cercle Brugge,Waregem,1,1,D,U,1.8,3.79,3.95,3.0,6.0,0.0,3.0,7,0.0,1.0,2.0,1.0,6.0,4.0,2.0,9.0,4.0,5.0,-3.0,0.0,-3.0,0.0,0.0,0.0,1.0,0.0,1.0,16.7,50.0,40.0,40.0,17.0,11.0,18.0,16.0
2025-10-26,2025,Antwerp,Club Brugge,0,1,A,U,4.93,4.15,1.59,4.0,4.0,1.0,5.0,6,1.0,2.0,1.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,50.0,33.3,19.0,15.0,19.0,25.0
2025-10-25,2025,Westerlo,Dender,1,1,D,U,1.71,3.91,4.31,6.0,3.0,11.0,3.0,6,2.0,0.0,1.0,3.0,4.0,2.0,2.0,2.0,8.0,-6.0,2.0,-6.0,8.0,2.0,0.0,2.0,1.0,2.0,-1.0,60.0,40.0,0.0,80.0,18.0,17.0,18.0,12.0
2025-10-25,2025,Mechelen,Oud-Heverlee Leuven,1,1,D,U,2.12,3.45,3.19,5.0,4.0,6.0,2.0,6,1.0,1.0,1.0,2.0,4.0,1.0,3.0,5.0,4.0,1.0,-1.0,-3.0,2.0,0.0,0.0,0.0,1.0,2.0,-1.0,40.0,20.0,20.0,80.0,13.0,14.0,16.0,18.0
2025-10-25,2025,Gent,Standard,4,0,H,O,1.86,3.59,3.92,6.0,2.0,4.0,4.0,6,2.0,1.0,0.0,2.0,6.0,2.0,4.0,2.0,2.0,0.0,4.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,60.0,20.0,40.0,60.0,8.0,5.0,12.0,9.0
2025-10-24,2025,Charleroi,Anderlecht,1,0,H,U,2.6,3.28,2.64,3.0,2.0,5.0,9.0,6,1.0,0.0,2.0,1.0,4.0,3.0,1.0,5.0,5.0,0.0,-1.0,-2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,20.0,40.0,40.0,20.0,12.0,10.0,16.0,16.0
2025-10-20,2025,Standard,Antwerp,1,0,H,U,1.99,3.32,3.78,4.0,3.0,4.0,5.0,6,0.0,0.0,2.0,2.0,2.0,0.0,2.0,6.0,4.0,2.0,-4.0,-4.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,20.0,40.0,0.0,40.0,11.0,5.0,23.0,10.0
2025-10-19,2025,Waregem,Gent,4,1,H,O,2.64,3.48,2.46,8.0,5.0,3.0,12.0,6,2.0,2.0,1.0,1.0,4.0,6.0,-2.0,2.0,4.0,-2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,40.0,40.0,40.0,40.0,16.0,16.0,8.0,5.0
2025-10-19,2025,St Truiden,Anderlecht,2,2,D,O,2.96,3.47,2.24,3.0,4.0,5.0,6.0,6,1.0,1.0,2.0,1.0,3.0,3.0,0.0,6.0,3.0,3.0,-3.0,0.0,-3.0,0.0,1.0,-1.0,1.0,1.0,0.0,60.0,40.0,50.0,25.0,14.0,11.0,15.0,17.0
2025-10-19,2025,Dender,Mechelen,1,3,A,O,2.71,3.33,2.47,6.0,6.0,4.0,4.0,6,0.0,1.0,2.0,1.0,0.0,4.0,-4.0,2.0,3.0,-1.0,-2.0,1.0,-3.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,60.0,40.0,20.0,6.0,17.0,9.0,21.0
2025-10-19,2025,Cercle Brugge,Genk,2,2,D,O,3.03,3.63,2.14,7.0,5.0,4.0,4.0,6,0.0,2.0,2.0,0.0,5.0,5.0,0.0,8.0,3.0,5.0,-3.0,2.0,-5.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,60.0,40.0,40.0,14.0,17.0,17.0,19.0
2025-10-18,2025,St. Gilloise,Charleroi,3,1,H,O,1.38,4.68,7.48,3.0,3.0,1.0,2.0,5,3.0,2.0,0.0,1.0,7.0,5.0,2.0,0.0,4.0,-4.0,7.0,1.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,40.0,40.0,22.0,13.0,26.0,8.0
2025-10-18,2025,RAAL La Louviere,Westerlo,0,0,D,U,2.55,3.44,2.56,1.0,0.0,2.0,2.0,6,1.0,1.0,0.0,1.0,1.0,8.0,-7.0,0.0,7.0,-7.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,40.0,20.0,20.0,60.0,9.0,16.0,22.0,9.0
